unnamed:_0,house_number,street,first_name,surname,age,relationship_to_head_of_house,marital_status,gender,occupation,infirmity,religion
70,4,Gold Road,Christopher,Holmes,48.0,Cousin,Single,Male,Clinical cytogeneticist,None,Not Stated
71,5,Gold Road,Zoe,Griffiths,59.0,Head,Single,Female,Jewellery designer,Physical Disability,Christian
72,5,Gold Road,Dominic,Griffiths,42.0,Son,Single,Male,Advertising account planner,None,Christian
73,5,Gold Road,Gillian,Griffiths,39.0,Daughter,Single,Female,Ecologist,None,Christian
74,5,Gold Road,Brian,Griffiths,35.0,Son,Divorced,Male,Rural practice surveyor,None,Christian
75,6,Gold Road,Donna,Allen,60.0,Head,Divorced,Female,Unemployed,None,Christian
76,6,Gold Road,Albert,Allen,0.0,Grandson,N/A,Male,Student,None,Not Stated
77,7,Gold Road,Victoria,Smith,51.0,Head,Married,Female,Barista,None,Not Stated
78,7,Gold Road,Jason,Smith,56.0,Husband,Married,Male,Unemployed,None,Not Stated
79,7,Gold Road,Sara,Smith,10.0,Daughter,N/A,Female,Student,None,Not Stated
80,8,Gold Road,Benjamin,Carpenter,46.0,Head,Married,Male,Sales executive,None,Christian
81,8,Gold Road,Katherine,Carpenter,50.0,Wife,Married,Female,Clinical psychologist,None,Christian
82,8,Gold Road,Michelle,Carpenter,24.0,Daughter,Single,Female,Investment analyst,None,Not Stated
83,8,Gold Road,Joanna,Carpenter,19.0,Daughter,Single,Female,University Student,None,Christian
84,9,Gold Road,Beth,Jones,21.0,Head,Divorced,Female,University Student,None,Christian
85,9,Gold Road,Jacob,Blake,35.0,Unknown,Single,Male,Tax inspector,None,Catholic
86,9,Gold Road,Rachel,Francis,35.0,Unknown,Single,Female,"Geologist, wellsite",None,Not Stated
87,9,Gold Road,Gareth,Payne,35.0,Unknown,Single,Male,Curator,None,Christian
88,10,Gold Road,Joseph,Wood,35.0,Head,Single,Male,Unemployed,None,Catholic
89,10,Gold Road,June,Wood,13.0,Daughter,N/A,Female,Student,None,Not Stated
90,10,Gold Road,Lynda,Wood,13.0,Daughter,N/A,Female,Student,None,Not Stated
91,10,Gold Road,Bethan,Wood,8.0,Daughter,N/A,Female,Student,None,Not Stated
92,10,Gold Road,Gerald,Wood,5.0,Son,N/A,Male,Student,None,Not Stated
93,11,Gold Road,Ashley,Parker,50.0,Head,Married,Male,Banker,None,Methodist
94,11,Gold Road,Joanne,Parker,46.0,Wife,Married,Female,Hydrographic surveyor,None,Methodist
95,11,Gold Road,Alexander,Parker,18.0,Son,Single,Male,Student,None,Not Stated
96,11,Gold Road,Margaret,Parker,14.0,Daughter,N/A,Female,Student,None,Not Stated
97,11,Gold Road,Matthew,Parker,9.0,Son,N/A,Male,Student,None,Not Stated
98,11,Gold Road,Maurice,Parker,8.0,Son,N/A,Male,Student,None,Not Stated
99,12,Gold Road,Abbie,Jones,28.0,Head,Married,Female,Recruitment consultant,None,Not Stated
100,12,Gold Road,Geraldine,Jones,29.0,Wife,Married,Female,Immunologist,None,Not Stated
101,12,Gold Road,Louise,Jones,2.0,Daughter,N/A,Female,Student,None,Not Stated
102,12,Gold Road,Francis,Richardson,36.0,Lodger,Single,Male,Recruitment consultant,None,Catholic
103,12,Gold Road,Anna,George,25.0,Lodger,Divorced,Female,Government social research officer,None,Christian
104,12,Gold Road,Wayne,Brooks,31.0,Lodger,Divorced,Male,Public house manager,None,Not Stated
105,13,Gold Road,Chelsea,Donnelly,27.0,Head,Single,Female,Financial adviser,None,Methodist
106,13,Gold Road,Gary,Walker,35.0,Unknown,Single,Male,Speech and language therapist,None,Muslim
107,13,Gold Road,Adam,O'Neill,35.0,Unknown,Single,Male,Ambulance person,None,Christian
108,13,Gold Road,Jill,Murphy,35.0,Unknown,Single,Female,University Student,None,Buddist
109,14,Gold Road,Charlotte,Cooper,66.0,Head,Single,Female,"Therapist, sports",None,Jewish
110,14,Gold Road,Tom,Woods,68.0,Partner,Single,Male,Retired Customer service manager,None,Not Stated
111,14,Gold Road,Barry,Cooper,30.0,Son,Single,Male,Writer,None,Not Stated
112,14,Gold Road,Arthur,Cooper,28.0,Son,Single,Male,Patent examiner,None,Jewish
113,14,Gold Road,Jayne,Cooper,25.0,Daughter,Single,Female,Information officer,None,Jewish
114,14,Gold Road,Shaun,Cooper,24.0,Son,Single,Male,"Lecturer, higher education",None,Not Stated
115,14,Gold Road,Kerry,Cooper,1.0,Daughter,N/A,Female,Student,None,Not Stated
116,15,Gold Road,Clare,O'Neill,31.0,Head,Married,Female,Regulatory affairs officer,None,Not Stated
117,15,Gold Road,Tony,O'Neill,32.0,Husband,Married,Male,Airline pilot,None,Not Stated
118,15,Gold Road,Joseph,O'Neill,1.0,Son,N/A,Male,Student,None,Not Stated
119,15,Gold Road,Gordon,Allen,64.0,Lodger,Divorced,Male,Hospital doctor,None,Not Stated
120,16,Gold Road,Natasha,Jones,43.0,Head,Married,Female,"Journalist, magazine",None,Christian
121,16,Gold Road,Damian,Jones,45.0,Husband,Married,Male,Personal assistant,None,Not Stated
122,16,Gold Road,Lawrence,Jones,22.0,Son,Single,Male,University Student,None,Christian
123,16,Gold Road,Lynda,Jones,4.0,Daughter,N/A,Female,Student,None,Not Stated
124,17,Gold Road,Kayleigh,Russell,44.0,Head,Married,Female,Management consultant,None,Methodist
125,17,Gold Road,Gerard,Russell,48.0,Husband,Married,Male,Press photographer,None,Methodist
126,17,Gold Road,Dale,Russell,27.0,Son,Single,Male,Unemployed,Physical Disability,Methodist
127,17,Gold Road,Stanley,Russell,23.0,Son,Single,Male,Special effects artist,None,Not Stated
128,17,Gold Road,Ellie,Russell,17.0,Daughter,N/A,Female,Student,None,Not Stated
129,18,Gold Road,Leanne,Stevenson,46.0,Head,Married,Female,Microbiologist,None,Christian
130,18,Gold Road,Marcus,Stevenson,48.0,Husband,Married,Male,Management consultant,None,Not Stated
131,18,Gold Road,Abigail,Murray,19.0,Daughter,Single,Female,University Student,None,Christian
132,18,Gold Road,Jade,Murray,18.0,Daughter,Single,Female,Student,None,Christian
133,18,Gold Road,Charlie,Murray,11.0,Son,N/A,Male,Student,None,Not Stated
134,19,Gold Road,Francesca,Slater,66.0,Head,Married,Female,Chief Executive Officer,None,Christian
135,19,Gold Road,Simon,Slater,72.0,Husband,Married,Male,Retired Exhibition designer,None,Christian
136,19,Gold Road,Raymond,Slater,31.0,Son,Single,Male,Product designer,None,Christian
137,19,Gold Road,Andrew,Slater,27.0,Son,Single,Male,Manufacturing systems engineer,None,Not Stated
138,20,Gold Road,Kerry,Todd,25.0,Head,Divorced,Female,Camera operator,None,Methodist
139,20,Gold Road,Anna,Todd,1.0,Daughter,N/A,Female,Student,None,Not Stated
140,20,Gold Road,Glenn,White,29.0,Lodger,Divorced,Male,Architectural technologist,None,Christian
141,20,Gold Road,Suzanne,Akhtar,42.0,Lodger,Single,Female,"Surveyor, land/geomatics",None,Catholic
142,21,Gold Road,Carolyn,Pope,53.0,Head,Single,Female,"Accountant, chartered",None,Christian
143,21,Gold Road,Steven,Skinner,55.0,Partner,Single,Male,Equities trader,None,Not Stated
144,21,Gold Road,Nathan,Pope,15.0,Son,N/A,Male,Student,None,Not Stated
145,22,Gold Road,Dawn,Singh,27.0,Head,Married,Female,Unemployed,None,Muslim
146,22,Gold Road,Conor,Singh,31.0,Husband,Married,Male,Lawyer,None,Muslim
147,22,Gold Road,Justin,Singh,5.0,Son,N/A,Male,Student,None,Not Stated
148,22,Gold Road,Joel,Singh,4.0,Son,N/A,Male,Student,None,Not Stated
149,23,Gold Road,Helen,Robinson,21.0,Head,Married,Female,University Student,None,Not Stated
150,23,Gold Road,Roy,Robinson,23.0,Husband,Married,Male,"Psychologist, clinical",None,Not Stated
151,23,Gold Road,Sylvia,King,46.0,Lodger,Single,Female,Social researcher,None,Not Stated
152,23,Gold Road,Allan,Pearson,29.0,Lodger,Single,Male,Hydrologist,None,Catholic
153,23,Gold Road,Megan,Parry,42.0,Lodger,Divorced,Female,Biomedical engineer,None,Christian
154,24,Gold Road,Samantha,Johnson,38.0,Head,Divorced,Female,Bookseller,None,Christian
155,24,Gold Road,Georgina,Johnson,18.0,Daughter,Widowed,Female,Student,None,Christian
156,24,Gold Road,Ronald,Johnson,16.0,Son,N/A,Male,Student,None,Not Stated
157,24,Gold Road,Leah,Johnson,11.0,Daughter,N/A,Female,Student,None,Not Stated
158,25,Gold Road,Rachel,Davis,49.0,Head,Single,Female,Unemployed,None,Christian
159,25,Gold Road,Lydia,Davis,19.0,Daughter,Single,Female,University Student,None,Christian
160,25,Gold Road,Kelly,Davis,16.0,Daughter,N/A,Female,Student,None,Not Stated
161,25,Gold Road,Jodie,Davis,13.0,Daughter,N/A,Female,Student,None,Not Stated
162,25,Gold Road,Natasha,Davis,9.0,Daughter,N/A,Female,Student,None,Not Stated
163,25,Gold Road,Dawn,Davis,5.0,Daughter,N/A,Female,Student,None,Not Stated
164,26,Gold Road,Lynne,Davies,53.0,Head,Married,Female,Mechanical engineer,None,Christian
165,26,Gold Road,John,Davies,53.0,Husband,Married,Male,Sport and exercise psychologist,None,Christian
166,26,Gold Road,Ashleigh,Davies,27.0,Daughter,Single,Female,Conference centre manager,None,Christian
167,26,Gold Road,Tracey,Davies,23.0,Daughter,Single,Female,Psychiatric nurse,None,Christian
168,26,Gold Road,Clare,Davies,14.0,Daughter,N/A,Female,Student,None,Not Stated
169,27,Gold Road,Patricia,Smith,51.0,Head,Married,Female,Corporate investment banker,None,Christian
170,27,Gold Road,Marc,Smith,57.0,Husband,Married,Male,Unemployed,None,Not Stated
171,27,Gold Road,Bethany,Smith,23.0,Daughter,Single,Female,Analytical chemist,None,Christian
172,27,Gold Road,Wendy,Buckley,5.0,Daughter,N/A,Female,Student,None,Not Stated
173,28,Gold Road,Ricky,Davidson,51.0,Head,Single,Male,Pathologist,None,Christian
174,28,Gold Road,Joyce,Hughes,48.0,Partner,Single,Female,Research scientist (physical sciences),None,Christian
175,28,Gold Road,Andrew,Davidson,20.0,Son,Single,Male,University Student,None,Not Stated
176,28,Gold Road,Heather,Hancock-Davidson,19.0,Daughter,Single,Female,University Student,None,Christian
177,28,Gold Road,Tina,Hancock-Davidson,2.0,Daughter,N/A,Female,Student,None,Not Stated
178,29,Gold Road,Donna,Turner,22.0,Head,Single,Female,University Student,None,Methodist
179,30,Gold Road,Bethan,Baker,39.0,Head,Divorced,Female,Unemployed,None,Methodist
180,30,Gold Road,Claire,Baker,6.0,Daughter,N/A,Female,Student,None,Not Stated
181,31,Gold Road,Robert,Hutchinson,61.0,Head,Divorced,Male,Retail banker,None,Not Stated
182,31,Gold Road,Yvonne,James-Hutchinson,1.0,Granddaughter,N/A,Female,Student,None,Not Stated
183,31,Gold Road,Jasmine,Roberts,0.0,Granddaughter,N/A,Female,Student,None,Not Stated
184,31,Gold Road,Samuel,Fisher,59.0,Sibling,Single,Male,Information systems manager,None,Christian
185,32,Gold Road,Jill,Sims,39.0,Head,Single,Female,Clothing/textile technologist,None,Christian
186,32,Gold Road,Graeme,Clayton,41.0,Partner,Single,Male,Unemployed,None,Christian
187,32,Gold Road,Jennifer,Sims,13.0,Daughter,N/A,Female,Student,None,Not Stated
188,32,Gold Road,Gregory,Sims,10.0,Son,N/A,Male,Student,None,Not Stated
189,32,Gold Road,Julie,Sims,10.0,Daughter,N/A,Female,Student,None,Not Stated
190,33,Gold Road,Holly,Garner,56.0,Head,Married,Female,"Buyer, retail",None,Methodist
191,33,Gold Road,Hugh,Garner,58.0,Husband,Married,Male,Translator,None,Not Stated
192,33,Gold Road,Rhys,Garner,37.0,Son,Divorced,Male,Agricultural engineer,None,Methodist
193,33,Gold Road,Pamela,Garner,31.0,Daughter,Single,Female,Photographer,None,Methodist
194,34,Gold Road,Lisa,Johnston,44.0,Head,Married,Female,"Conservator, museum/gallery",None,Not Stated
195,34,Gold Road,Christopher,Johnston,48.0,Husband,Married,Male,Race relations officer,Mental Disability,Not Stated
196,34,Gold Road,Gerald,Johnston,18.0,Son,Single,Male,Student,None,Not Stated
197,34,Gold Road,Gareth,Johnston,15.0,Son,N/A,Male,Student,None,Not Stated
198,35,Gold Road,Rosemary,Connolly,75.0,Head,Married,Female,Retired Hospital pharmacist,None,Not Stated
199,35,Gold Road,John,Connolly,81.0,Husband,Married,Male,Retired Oceanographer,None,Not Stated
200,36,Gold Road,Maureen,Rahman,47.0,Head,Single,Female,Waste management officer,None,Not Stated
201,36,Gold Road,Dean,Humphreys,35.0,Unknown,Single,Male,Television floor manager,None,Christian
202,36,Gold Road,Paige,Edwards,35.0,Unknown,Single,Female,"Designer, television/film set",None,Not Stated
203,36,Gold Road,Gillian,Green,35.0,Unknown,Single,Female,Engineering geologist,None,Catholic
204,37,Gold Road,Susan,Mitchell,36.0,Head,Married,Female,Interpreter,None,Not Stated
205,37,Gold Road,Albert,Mitchell,43.0,Husband,Married,Male,"Nurse, adult",None,Not Stated
206,37,Gold Road,Marie,Connor,26.0,Lodger,Single,Female,"Therapist, speech and language",None,Not Stated
207,37,Gold Road,Denise,Cox,34.0,Lodger,Divorced,Female,"Administrator, sports",None,Catholic
208,38,Gold Road,Sian,Miller,48.0,Head,Married,Female,Research scientist (maths),None,Christian
209,38,Gold Road,Ross,Miller,50.0,Husband,Married,Male,Unemployed,None,Christian
210,38,Gold Road,Alan,Miller,25.0,Son,Single,Male,Printmaker,None,Christian
211,38,Gold Road,Sharon,Miller,22.0,Daughter,Single,Female,University Student,None,Christian
212,39,Gold Road,Cheryl,Knight,60.0,Head,Single,Female,Clothing/textile technologist,None,Methodist
213,39,Gold Road,Damien,Sutton,35.0,Unknown,Single,Male,Lexicographer,None,Christian
214,39,Gold Road,Alan,Marshall,35.0,Unknown,Single,Male,Chiropractor,None,Christian
215,39,Gold Road,Keith,Barker,35.0,Unknown,Single,Male,"Solicitor, Scotland",None,Catholic
216,39,Gold Road,Carly,Duncan,35.0,Unknown,Single,Female,Control and instrumentation engineer,None,Methodist
217,40,Gold Road,Yvonne,Moss,39.0,Head,Divorced,Female,Unemployed,None,Methodist
218,40,Gold Road,Kathryn,Moss,9.0,Daughter,N/A,Female,Student,None,Not Stated
219,40,Gold Road,Sharon,Moss,7.0,Daughter,N/A,Female,Student,None,Not Stated
220,40,Gold Road,Sally,Moss,3.0,Daughter,N/A,Female,Student,None,Not Stated
221,41,Gold Road,Andrea,Wood,51.0,Head,Single,Female,Sports administrator,None,Christian
222,42,Gold Road,Molly,James,37.0,Head,Married,Female,Senior tax professional/tax inspector,None,Christian
223,42,Gold Road,Tony,James,41.0,Husband,Married,Male,Manufacturing systems engineer,None,Christian
224,42,Gold Road,Rachael,James,11.0,Daughter,N/A,Female,Student,None,Not Stated
225,42,Gold Road,Elizabeth,James,7.0,Daughter,N/A,Female,Student,None,Not Stated
226,42,Gold Road,Louise,James,4.0,Daughter,N/A,Female,Student,None,Not Stated
227,43,Gold Road,Kerry,Middleton,57.0,Head,Married,Female,Agricultural consultant,None,Not Stated
228,43,Gold Road,Kyle,Middleton,59.0,Husband,Married,Male,Chief Strategy Officer,None,Not Stated
229,43,Gold Road,Bethan,Collins,4.0,Granddaughter,N/A,Female,Student,None,Not Stated
230,44,Gold Road,Kelly,Thomas,65.0,Head,Single,Female,"Designer, fashion/clothing",None,Methodist
231,44,Gold Road,Dale,Sullivan,39.0,Son,Single,Male,Actor,None,Not Stated
232,44,Gold Road,Julian,Sullivan,39.0,Son,Widowed,Male,Newspaper journalist,None,Methodist
233,45,Gold Road,Rachel,Wilson,53.0,Head,Married,Female,Ophthalmologist,None,Christian
234,45,Gold Road,Graeme,Wilson,55.0,Husband,Married,Male,Health promotion specialist,None,Christian
235,45,Gold Road,Stacey,Wilson,21.0,Daughter,Single,Female,University Student,None,Not Stated
236,45,Gold Road,Josh,Wilson,20.0,Son,Divorced,Male,University Student,None,Christian
237,46,Gold Road,Mark,Manning,19.0,Head,Single,Male,University Student,None,Methodist
238,46,Gold Road,Joshua,Marshall,35.0,Unknown,Single,Male,Chartered public finance accountant,None,Not Stated
239,46,Gold Road,Amanda,O'Connor,35.0,Unknown,Single,Female,Actor,None,Christian
240,46,Gold Road,Trevor,Patel,35.0,Unknown,Single,Male,Telecommunications researcher,None,Christian
241,46,Gold Road,Paula,Shaw,35.0,Unknown,Single,Female,"Surveyor, land/geomatics",None,Catholic
242,46,Gold Road,Suzanne,Rees,35.0,Unknown,Single,Female,Art gallery manager,None,Catholic
243,47,Gold Road,Julie,Mitchell,52.0,Head,Single,Female,"Engineer, electronics",None,Not Stated
244,48,Gold Road,Francesca,Shaw,40.0,Head,Married,Female,Pharmacologist,None,Not Stated
245,48,Gold Road,Karl,Shaw,41.0,Husband,Married,Male,Data scientist,None,Not Stated
246,49,Gold Road,Daniel,Wright,19.0,Head,Single,Male,University Student,None,Christian
247,49,Gold Road,Amelia,Webb,35.0,Unknown,Single,Female,University Student,None,Christian
248,49,Gold Road,Christian,Jones,35.0,Unknown,Single,Male,University Student,None,Christian
249,49,Gold Road,Jay,Bartlett,35.0,Unknown,Single,Male,PhD Student,None,Catholic
250,49,Gold Road,Louise,Carr,35.0,Unknown,Single,Female,University Student,None,Catholic
251,49,Gold Road,Martin,Lewis,35.0,Unknown,Single,Male,University Student,None,Jewish
252,50,Gold Road,Barbara,Reid,40.0,Head,Married,Female,"Sound technician, broadcasting/film/video",None,Methodist
253,50,Gold Road,Rhys,Reid,39.0,Husband,Married,Male,Immigration officer,None,Not Stated
254,50,Gold Road,Chloe,Reid,8.0,Daughter,N/A,Female,Student,None,Not Stated
255,50,Gold Road,Teresa,Reid,5.0,Daughter,N/A,Female,Student,None,Not Stated
256,51,Gold Road,Fiona,Harris,40.0,Head,Married,Female,Audiological scientist,None,Not Stated
257,51,Gold Road,Graham,Harris,42.0,Husband,Married,Male,Architectural technologist,None,Not Stated
258,51,Gold Road,Kim,Harris,6.0,Daughter,N/A,Female,Student,None,Not Stated
259,51,Gold Road,Joshua,Harris,5.0,Son,N/A,Male,Student,None,Not Stated
260,52,Gold Road,Stephanie,Woodward,25.0,Head,Single,Female,Community development worker,None,Not Stated
261,52,Gold Road,Victor,Smith,25.0,Partner,Single,Male,Immunologist,None,Not Stated
262,52,Gold Road,Ashleigh,Ali,5.0,Daughter,N/A,Female,Student,None,Not Stated
263,52,Gold Road,Eileen,Ali,1.0,Daughter,N/A,Female,Student,None,Not Stated
264,52,Gold Road,Iain,Mann,28.0,Lodger,Single,Male,Jewellery designer,None,Catholic
265,52,Gold Road,Louis,Thompson,22.0,Lodger,Single,Male,University Student,None,Not Stated
266,1,Whitehall Street,Garry,Davidson,41.0,Head,Single,Male,Public relations account executive,None,Methodist
267,1,Whitehall Street,Elliot,Wilkinson,35.0,Unknown,Single,Male,Energy engineer,None,Not Stated
268,1,Whitehall Street,Joyce,Richards,35.0,Unknown,Single,Female,Unemployed,None,Christian
269,1,Whitehall Street,Benjamin,Lewis,35.0,Unknown,Single,Male,"Psychologist, forensic",None,Not Stated
270,1,Whitehall Street,Iain,Stone,35.0,Unknown,Single,Male,Contractor,None,Muslim
271,1,Whitehall Street,Diana,Connor,35.0,Unknown,Single,Female,Comptroller,None,Not Stated
272,1,Whitehall Street,Allan,Jones,35.0,Unknown,Single,Male,Seismic interpreter,None,Catholic
273,2,Whitehall Street,Gillian,Nelson,41.0,Head,Single,Female,"Engineer, drilling",None,Catholic
274,3,Whitehall Street,Rachael,Booth,53.0,Head,Married,Female,Health physicist,None,Catholic
275,3,Whitehall Street,Russell,Booth,58.0,Husband,Married,Male,Special educational needs teacher,None,Catholic
276,3,Whitehall Street,Anna,Booth,23.0,Daughter,Single,Female,Secretary/administrator,None,Not Stated
277,3,Whitehall Street,Ronald,Booth,17.0,Son,N/A,Male,Student,None,Not Stated
278,4,Whitehall Street,Tony,Adams,43.0,Head,Single,Male,Environmental health practitioner,None,Christian
279,5,Whitehall Street,Caroline,Smith,56.0,Head,Married,Female,Environmental health practitioner,None,Christian
280,5,Whitehall Street,Douglas,Smith,61.0,Husband,Married,Male,Multimedia programmer,None,Not Stated
281,5,Whitehall Street,Shane,Smith,17.0,Son,N/A,Male,Student,None,Not Stated
282,5,Whitehall Street,Nicholas,Smith,15.0,Son,N/A,Male,Student,None,Not Stated
283,6,Whitehall Street,Georgina,Jones,42.0,Head,Single,Female,Multimedia programmer,None,Catholic
284,6,Whitehall Street,Jay,Bailey,46.0,Partner,Single,Male,Adult nurse,None,Catholic
285,6,Whitehall Street,Melanie,Jones,13.0,Daughter,N/A,Female,Student,None,Not Stated
286,7,Whitehall Street,Andrew,Arnold,45.0,Head,Divorced,Male,Chemical engineer,None,Catholic
287,7,Whitehall Street,Mandy,Arnold,14.0,Daughter,N/A,Female,Student,None,Not Stated
